Session_Duration (hours),Calories_Burned,Water_Intake (liters),Experience_Level
1.86,2176.2,2.7,3.0
0.63,762.99,2.82,1.01
1.03,1019.7,2.61,1.0
1.15,1392.76,2.1,1.01
1.48,1597.07,2.7,1.99
1.03,987.15,1.99,1.98
1.37,1662.22,2.11,1.03
1.22,1609.06,2.32,1.99
1.83,2136.16,3.48,2.97
1.76,1830.4,3.49,3.0
1.38,1368.68,1.9,1.02
0.66,436.0,3.09,1.01
0.81,979.21,3.71,1.0
1.28,1378.94,3.51,1.97
1.68,1967.11,2.71,3.01
1.9,2224.71,3.51,3.01
1.49,1431.59,3.41,2.01
0.96,1162.66,1.59,1.01
1.47,1453.98,1.8,1.0
0.54,653.99,3.09,1.01
0.64,564.22,2.41,1.02
1.0,958.4,2.3,1.98
1.41,1709.2,2.31,1.02
0.66,653.99,3.21,1.01
1.01,1222.1,2.71,1.0
1.5,1321.2,1.81,1.01
0.61,602.8,3.7,1.0
1.41,1354.73,2.59,2.01
1.28,1692.42,2.5,2.02
1.19,1048.15,1.59,1.01
1.58,1850.02,2.69,3.01
1.23,884.86,2.1,1.99
0.91,600.6,2.41,1.0
1.48,1421.98,2.0,2.01
1.35,1190.16,3.18,1.02
1.49,1426.82,3.4,1.97
0.85,748.0,2.89,1.0
0.83,548.8,2.28,1.02
1.57,1226.48,2.69,3.02
2.01,2349.89,3.51,2.99
1.16,1251.76,3.11,1.99
1.41,1013.51,3.49,1.98
1.32,1266.14,3.31,1.99
1.38,1486.67,3.11,1.97
1.54,1203.05,2.69,3.02
1.88,2202.98,2.72,3.02
1.25,1102.0,2.49,1.02
1.31,1413.62,2.0,1.99
1.31,1413.62,3.61,1.99
1.36,1798.19,2.22,2.02
1.47,1412.38,2.68,2.01
1.41,1016.05,3.5,2.01
0.67,661.49,3.3,1.0
1.1,1052.48,3.3,1.96
1.32,1423.22,2.61,1.98
1.33,1435.2,2.11,1.99
1.08,1305.61,3.37,1.0
0.68,675.04,2.29,1.03
1.86,1931.42,3.5,2.98
1.23,1180.8,2.11,2.0
1.04,999.23,1.99,2.01
1.25,825.0,3.11,1.0
0.61,403.33,2.6,1.02
1.4,1851.08,2.6,2.02
1.03,1114.25,2.01,2.02
1.29,928.8,1.91,2.0
0.93,919.86,2.17,1.0
1.82,2602.6,3.5,3.0
1.65,2357.68,2.69,2.99
0.69,455.81,2.28,1.01
1.39,1223.2,3.4,1.0
1.42,1024.96,2.3,2.03
1.14,1378.15,3.49,1.0
0.61,738.77,3.7,1.01
1.67,1306.61,2.7,3.04
1.2,1294.92,2.41,1.99
1.21,1306.8,2.99,2.0
1.67,2386.26,2.68,2.99
1.34,882.79,2.21,1.0
1.48,1421.98,1.99,2.01
1.43,1544.4,1.79,2.0
0.79,955.9,2.12,1.0
0.7,692.37,2.51,1.0
1.26,1523.21,3.71,1.0
1.74,1356.16,3.51,2.99
1.41,928.91,2.19,1.0
1.66,1943.69,2.71,3.01
1.38,1491.64,3.4,2.01
1.41,1352.47,2.29,1.99
1.29,852.95,2.4,1.02
1.79,2095.91,2.67,3.01
1.2,1152.0,2.41,2.0
0.89,881.1,2.61,1.0
0.99,980.99,2.4,1.01
0.59,518.26,2.41,1.0
0.77,509.12,3.6,1.02
0.83,1004.3,1.99,1.0
1.0,880.8,3.58,1.01
1.26,1211.62,3.02,2.02
1.4,1229.76,1.71,1.0
1.3,1146.08,2.18,1.02
1.16,1402.32,2.49,1.0
1.28,1689.6,2.6,2.0
1.69,1984.9,3.49,3.05
1.65,1929.02,3.5,2.99
1.3,1287.0,2.2,1.0
1.42,1403.24,1.99,1.0
1.38,1490.4,1.81,2.0
1.2,1056.96,2.51,1.01
1.81,2117.7,3.5,3.0
1.26,1664.59,3.11,2.01
1.44,1745.57,2.4,1.02
1.48,1602.4,2.3,2.03
1.71,1779.77,3.51,3.01
1.61,2304.07,3.51,3.01
0.56,492.35,1.99,1.0
1.13,745.12,3.1,1.0
1.67,1958.41,3.51,3.03
1.59,1242.11,3.5,3.02
1.45,1388.52,1.9,1.97
1.4,1344.0,2.2,2.0
1.41,1353.6,2.32,2.0
1.2,862.56,1.99,1.98
1.43,1371.66,2.4,1.99
1.24,892.8,2.69,2.0
1.22,1318.7,3.1,2.01
1.07,706.2,3.2,1.0
1.37,1313.01,2.1,1.98
1.4,1848.0,3.52,2.0
1.56,1828.01,3.47,3.02
0.85,747.32,1.72,1.0
1.04,999.23,2.49,2.01
1.19,857.51,2.43,2.01
1.24,1341.43,2.69,2.02
1.3,1714.57,2.02,1.99
1.07,1058.34,2.5,1.0
1.44,1556.5,3.4,2.01
1.37,1353.83,2.09,1.0
0.82,541.69,2.5,1.01
1.18,848.18,2.32,1.98
1.35,1780.52,3.69,1.99
0.8,970.64,2.29,1.03
0.86,567.6,1.92,1.0
1.39,1225.42,1.49,1.02
1.33,1758.53,2.32,2.02
1.02,734.4,2.92,2.0
1.4,1008.0,3.29,2.0
0.91,801.53,3.51,1.01
1.27,1536.7,3.37,1.0
1.42,1533.6,2.6,2.0
1.67,1302.6,2.68,3.0
1.26,1661.81,2.08,1.99
1.58,1230.5,3.51,2.98
1.72,1788.8,3.49,3.0
1.0,1315.6,2.18,1.96
0.99,1196.81,2.59,1.0
1.95,2279.74,3.49,2.99
1.05,1386.0,2.49,2.0
1.71,1779.77,3.48,3.01
1.01,1333.2,2.19,2.0
0.69,455.4,2.59,1.0
1.12,1107.79,1.79,1.0
1.3,936.0,3.09,2.0
0.73,642.98,3.49,1.01
1.84,2633.22,2.69,3.01
1.12,805.73,1.78,1.99
0.92,608.3,1.7,1.02
1.38,909.97,1.7,1.0
1.3,1404.0,2.58,2.0
0.84,554.4,2.4,1.0
1.04,749.42,2.4,2.01
1.02,979.2,2.41,2.0
1.78,1391.6,3.5,3.03
1.34,1288.54,2.28,2.02
1.44,1038.53,1.69,2.02
0.86,1041.55,2.3,1.01
1.47,1455.3,2.41,1.0
0.53,640.72,2.89,1.0
1.13,1220.4,2.5,2.0
1.54,1803.19,3.51,3.01
1.55,1610.76,3.46,2.99
1.36,896.78,2.17,1.0
1.46,1766.6,2.1,1.0
0.9,790.56,2.1,1.0
1.76,1371.74,2.68,2.99
1.83,1904.66,2.69,3.01
1.11,733.27,2.21,1.01
1.53,1791.48,3.51,3.01
1.16,1252.8,1.88,2.0
1.19,1283.06,2.39,1.98
1.51,2157.64,3.51,2.99
1.28,843.26,2.01,1.0
1.06,1144.8,3.5,2.0
1.88,1955.2,3.49,3.0
1.34,1619.93,1.8,1.0
1.3,1145.04,2.4,1.01
1.42,1362.06,3.61,1.99
1.49,1074.59,3.39,2.02
1.98,1544.4,2.71,3.0
1.11,1197.8,2.5,1.99
0.83,1005.21,2.31,1.01
1.44,1034.21,2.09,1.97
1.59,1652.33,3.51,2.99
1.03,986.33,2.41,1.97
1.2,862.56,2.57,1.98
1.34,1770.27,2.33,2.01
1.24,1497.67,2.0,1.0
1.41,1522.8,2.62,2.0
1.08,777.6,1.69,2.0
1.13,1218.37,2.8,1.98
1.38,1671.32,2.21,1.01
1.38,909.97,2.0,1.0
1.28,1228.8,3.52,2.0
1.57,1835.49,2.7,2.99
0.94,824.19,1.69,1.0
1.31,863.81,3.41,1.0
1.16,835.9,2.39,2.01
1.25,1351.12,2.0,2.01
1.81,2584.32,3.48,2.98
1.27,913.64,2.21,1.99
0.67,810.7,2.3,1.0
1.07,706.84,1.89,1.01
1.03,1244.03,2.6,1.0
0.76,668.8,2.92,1.0
0.77,931.7,3.11,1.0
1.58,1233.35,3.51,3.01
1.21,1595.87,2.1,1.99
1.37,1809.91,2.12,2.01
1.08,1035.94,2.09,1.99
1.36,1467.58,3.6,1.99
1.47,970.2,3.12,1.0
1.25,825.75,2.91,1.01
0.62,547.09,2.41,1.03
1.3,936.78,3.01,2.01
1.88,2690.47,3.52,3.01
0.92,908.32,2.4,1.0
1.0,720.0,1.47,2.0
0.73,883.3,1.79,1.0
1.77,2072.49,3.5,3.01
1.68,1309.39,2.71,2.99
1.48,1784.29,2.39,1.0
1.43,1416.99,2.4,1.01
0.93,818.4,2.01,1.0
1.08,776.95,2.31,1.99
1.76,2057.62,2.71,2.99
1.36,1345.18,2.17,1.0
1.22,877.67,2.12,1.99
1.84,1909.18,3.49,2.97
1.13,814.96,3.09,2.02
0.66,800.78,2.19,1.03
1.02,1237.57,2.3,1.03
1.27,1218.18,1.7,1.99
1.01,888.8,1.7,1.0
1.15,1518.0,3.39,2.0
1.27,1536.7,1.79,1.0
1.1,725.34,2.21,1.0
1.77,1839.38,3.5,2.99
1.45,1756.1,2.32,1.01
1.48,975.91,2.71,1.0
1.29,1704.22,3.7,2.01
0.96,1160.54,3.1,1.0
1.42,1249.6,2.4,1.0
0.54,356.72,3.09,1.01
0.74,651.2,2.3,1.0
1.55,1208.07,2.7,2.99
1.96,2291.44,3.49,2.99
1.26,1208.59,2.61,1.99
1.06,700.24,2.71,1.01
0.95,626.43,2.08,1.0
1.76,2056.03,3.49,2.98
2.0,1558.8,3.5,2.99
1.67,1953.9,2.7,3.0
0.77,761.61,3.4,1.0
0.86,1041.55,1.9,1.01
0.73,722.04,3.51,1.0
1.35,891.0,2.21,1.0
1.18,778.8,3.2,1.0
1.3,1408.68,2.32,2.04
1.47,1777.08,2.01,1.0
1.38,910.8,2.99,1.0
1.37,1204.5,2.31,1.0
1.96,2291.44,3.51,2.99
1.21,869.75,3.21,1.98
1.72,2007.76,2.71,2.97
1.71,2000.7,2.69,3.0
0.54,535.57,1.78,1.02
1.79,1861.6,3.48,3.0
1.45,954.39,2.1,1.0
1.3,1144.0,2.31,1.0
1.36,978.38,2.09,1.99
1.29,930.35,2.08,2.02
1.18,1275.46,2.5,2.01
1.29,1135.2,3.1,1.0
1.81,2590.29,3.51,3.01
1.66,2377.45,3.5,3.02
0.81,977.43,2.21,1.0
1.56,1822.39,3.51,2.98
1.0,960.8,1.5,2.01
1.67,1955.4,3.5,3.01
0.73,722.7,2.71,1.0
1.65,1717.32,2.7,3.01
1.85,1441.89,2.72,2.99
1.35,1294.92,3.49,1.99
1.35,1780.52,2.6,1.99
1.16,1532.48,1.79,2.01
1.27,1119.63,3.1,1.02
1.1,1450.79,2.2,1.99
1.28,920.06,2.38,1.98
1.07,1027.2,2.81,2.0
1.7,1766.64,2.69,2.99
1.05,755.37,1.8,1.99
1.2,792.0,2.21,1.0
1.3,857.22,3.21,1.0
1.35,1336.5,2.2,1.0
0.73,883.3,2.7,1.0
1.41,1520.26,1.98,1.98
1.04,749.42,2.83,2.01
1.13,1117.68,3.6,1.0
0.95,939.64,1.71,1.0
1.37,1477.13,1.81,1.98
1.14,1507.31,2.38,2.02
0.58,510.4,2.08,1.0
1.07,1412.4,1.5,2.0
1.84,2631.2,3.49,3.0
1.35,1334.07,2.3,1.0
1.03,741.6,3.4,2.0
1.01,971.22,2.2,2.02
1.75,1367.1,3.51,3.02
1.33,1434.01,2.29,1.98
0.6,395.64,3.41,1.0
1.13,996.21,3.61,1.02
1.78,1389.47,2.69,3.01
1.42,1250.74,1.99,1.01
1.86,1932.91,2.71,2.99
1.49,982.51,2.01,1.0
1.12,1210.61,2.58,2.01
1.52,1582.02,3.48,3.01
1.9,1480.86,2.7,2.99
1.04,998.4,2.6,2.0
1.35,972.0,2.29,2.0
1.14,1506.05,2.1,2.01
1.35,1460.43,1.59,2.02
0.73,724.01,3.58,1.02
0.72,871.99,3.49,1.01
1.88,1468.66,2.69,3.02
1.2,790.56,1.61,1.0
1.81,2592.28,3.49,3.02
1.04,1122.26,2.48,1.99
1.14,821.48,2.11,2.01
0.79,955.9,3.69,1.0
1.14,1092.58,2.8,1.98
1.42,1875.96,2.5,2.01
1.38,1663.73,1.99,1.0
1.47,1773.85,3.49,1.0
1.32,1160.54,2.2,1.0
1.44,1268.35,1.61,1.01
1.51,1086.29,1.6,1.99
1.42,1877.52,3.39,2.02
1.28,1550.21,2.02,1.01
1.26,1107.79,2.61,1.0
1.21,1599.86,2.3,2.02
1.0,659.4,2.3,1.0
1.28,844.03,3.19,1.0
1.48,1956.86,3.59,2.02
1.12,1353.97,1.8,1.0
1.44,1902.38,2.9,2.01
1.23,1216.59,2.19,1.0
1.46,1401.6,1.93,2.0
0.5,495.0,2.29,1.0
1.21,1162.57,3.12,2.01
0.84,552.89,3.48,1.0
1.26,1523.21,2.61,1.0
1.35,1780.52,2.21,1.99
0.85,841.5,1.7,1.0
1.37,1316.3,3.11,2.01
1.24,1636.8,2.67,2.0
1.48,1419.62,3.39,1.99
0.88,579.74,1.6,1.0
1.45,1280.64,1.8,1.04
1.35,972.0,1.59,2.0
1.38,1671.32,3.19,1.01
1.45,1392.0,1.59,2.0
1.45,1389.68,2.1,1.98
1.37,1657.7,2.2,1.0
1.3,932.88,2.12,1.96
1.67,1735.46,3.48,2.99
1.19,1284.13,3.5,1.99
1.15,1518.0,1.8,2.0
1.28,1227.78,1.78,1.99
1.1,1056.88,2.42,2.01
0.72,474.77,2.71,1.0
1.16,1532.48,3.49,2.01
1.19,1572.11,2.3,2.01
1.21,1161.6,2.38,2.0
0.57,691.58,2.71,1.03
0.81,712.8,3.69,1.0
1.26,1524.6,2.62,1.0
1.46,1050.32,1.52,1.99
1.35,1297.08,2.3,2.01
1.0,1321.1,2.21,2.01
1.36,1467.58,2.91,1.99
1.36,1196.8,2.8,1.0
1.15,1242.0,2.09,2.0
1.04,1000.06,1.98,2.02
1.76,1370.69,2.71,2.98
1.49,1609.2,1.8,2.0
0.6,726.0,2.57,1.0
1.69,2420.42,2.69,3.02
1.03,679.8,2.12,1.0
0.69,681.86,3.07,1.0
1.32,1300.86,2.49,1.0
1.83,1907.59,2.68,3.03
0.65,786.5,2.69,1.0
1.34,1285.33,2.2,1.99
0.61,536.31,2.71,1.0
0.93,819.89,2.59,1.02
1.31,1418.34,3.39,2.03
1.34,966.41,2.6,2.02
1.25,1651.38,3.7,2.01
1.24,892.06,2.1,1.99
1.98,2827.04,2.7,2.98
1.66,1725.07,3.51,2.99
1.3,1716.0,1.89,2.0
1.0,960.8,2.81,2.01
1.42,1719.76,2.29,1.01
1.17,842.4,1.99,2.0
1.31,865.39,2.99,1.01
1.03,740.98,2.62,1.99
1.39,1502.45,2.5,2.01
1.41,1354.73,2.6,2.01
1.87,2674.1,3.5,3.0
1.18,1561.49,3.6,2.03
1.08,776.95,2.8,1.99
1.87,2678.21,2.7,3.02
1.34,1771.75,1.49,2.02
1.11,1466.42,2.78,2.01
1.79,2095.91,3.49,3.01
0.55,666.1,1.79,1.01
1.48,1302.4,1.99,1.0
0.69,607.2,2.39,1.0
1.79,2094.3,2.7,3.0
1.8,1401.84,3.51,2.98
1.9,2714.91,2.72,2.99
1.75,1817.2,3.5,2.98
0.71,467.75,3.6,1.0
1.16,1021.73,2.51,1.01
1.02,1346.4,1.91,2.0
1.27,1372.74,1.9,2.01
0.92,1111.18,3.3,1.0
1.32,1426.79,2.99,2.01
1.24,1093.18,1.81,1.02
1.76,1373.86,3.49,3.01
1.2,864.72,2.03,2.01
1.22,803.0,3.31,1.0
1.33,1607.84,2.22,1.0
0.82,722.91,2.1,1.02
0.69,682.48,2.7,1.0
1.08,952.13,2.59,1.02
1.51,1177.8,3.51,3.0
1.94,2269.8,2.7,3.0
1.28,923.9,2.4,2.03
1.05,1037.61,2.72,1.0
1.84,2151.14,2.7,2.99
1.93,1501.93,2.7,2.97
1.7,1985.94,3.49,2.98
1.15,1106.76,2.08,2.03
1.48,1601.06,2.5,2.02
1.04,748.8,2.3,2.0
0.77,762.99,2.79,1.01
1.08,712.15,2.61,1.0
1.41,1238.54,1.62,1.0
0.85,839.97,2.3,1.0
1.08,711.5,2.09,1.0
1.41,1709.2,3.4,1.02
1.36,1645.6,2.9,1.0
0.84,1016.4,2.41,1.0
1.77,1837.97,3.51,2.98
1.14,1381.91,2.2,1.02
1.36,1647.1,2.9,1.01
1.82,2126.12,3.5,2.98
1.16,1113.6,2.3,2.0
1.39,1837.86,1.49,2.02
1.14,821.48,1.7,2.01
0.55,544.5,1.81,1.0
1.47,1453.98,3.11,1.0
1.46,1575.49,1.5,1.99
1.38,1665.25,1.49,1.0
1.03,740.98,2.4,1.99
1.56,2227.37,2.69,2.98
1.05,692.37,1.49,1.0
1.09,1045.53,1.8,1.99
1.15,1240.97,2.67,1.99
1.22,1613.08,2.6,2.02
0.72,870.41,2.67,1.0
1.39,1502.45,2.59,2.01
0.72,475.2,3.47,1.0
1.1,1054.24,2.48,1.98
0.52,514.8,2.21,1.0
0.85,840.74,1.48,1.0
1.32,870.41,2.2,1.0
1.28,923.9,1.82,2.03
0.73,721.39,1.91,1.0
1.1,726.66,3.09,1.01
0.97,640.78,1.99,1.01
1.07,1062.19,2.7,1.03
1.38,1824.64,3.41,2.02
1.99,2069.6,3.52,3.0
0.64,563.71,1.71,1.01
0.63,415.8,2.01,1.0
1.25,1353.38,2.51,2.03
1.02,1344.16,3.4,1.98
1.16,1403.6,2.5,1.0
1.15,759.0,2.51,1.0
1.42,1534.88,2.19,2.01
0.98,1185.8,1.99,1.0
0.99,653.4,2.3,1.0
1.19,784.69,3.38,1.0
1.28,1229.82,1.81,2.01
1.47,1408.85,2.47,1.98
1.72,2007.76,2.7,2.97
0.74,488.4,1.79,1.0
1.06,1017.6,2.41,2.0
1.09,1320.1,2.91,1.01
1.39,1833.27,2.29,1.99
1.4,1384.74,3.0,1.0
1.47,1293.6,2.61,1.0
1.38,1215.5,2.01,1.01
1.33,1751.21,2.58,1.97
1.49,1804.54,2.9,1.01
1.26,1358.53,1.89,1.98
0.56,369.26,2.19,1.0
0.97,641.95,2.1,1.03
1.37,1317.39,1.89,2.02
0.95,626.43,2.0,1.0
1.36,977.57,2.19,1.98
1.31,1258.65,3.1,2.01
1.31,1414.8,2.08,2.0
1.14,1503.55,2.78,1.99
1.21,1461.44,2.51,1.0
1.91,1986.4,3.51,3.0
0.79,520.93,3.22,1.0
1.37,986.4,3.09,2.0
0.66,434.41,2.11,1.0
0.67,442.6,2.68,1.01
1.29,1701.38,2.5,1.99
1.73,2472.0,2.69,2.99
1.36,1793.7,2.21,1.99
0.97,960.3,2.81,1.0
1.34,1447.2,3.49,2.0
1.38,1490.4,2.5,2.0
1.23,811.06,2.4,1.0
0.85,1025.7,1.49,1.0
1.19,1572.11,2.42,2.01
0.57,689.7,2.91,1.0
0.88,777.22,2.6,1.04
0.79,955.9,3.42,1.0
1.26,1520.44,2.8,1.0
0.85,559.98,3.61,1.0
1.32,950.4,2.98,2.0
1.42,1874.4,2.9,2.0
0.99,980.99,1.69,1.01
0.9,1088.01,3.5,1.0
1.28,1383.55,3.1,2.01
1.91,1986.4,3.51,3.0
1.27,1258.44,2.39,1.01
1.02,978.38,1.7,1.99
0.66,653.99,3.41,1.01
0.68,599.49,1.9,1.02
1.04,1370.51,2.29,1.98
1.64,2345.2,3.51,3.0
1.87,1944.8,2.7,3.0
1.2,1296.0,2.08,2.0
1.15,1102.16,3.51,1.98
0.49,486.42,1.61,1.03
1.49,1968.44,3.4,2.01
1.14,1506.05,1.9,2.01
0.97,640.78,2.1,1.01
0.54,534.11,1.7,1.0
1.77,2533.05,3.51,3.01
0.69,454.57,1.91,1.0
1.6,1872.0,3.49,3.0
1.79,1863.03,3.47,3.01
1.2,1294.92,1.8,1.99
1.06,1399.2,1.8,2.0
0.88,775.1,1.61,1.01
1.34,884.4,3.08,1.0
1.88,1952.19,2.7,2.98
1.29,926.48,3.1,1.97
1.5,1980.0,3.69,2.0
0.92,909.14,1.72,1.0
1.06,1282.6,2.69,1.0
0.86,1040.6,1.7,1.0
1.18,1430.4,3.69,1.02
1.66,1723.74,2.71,2.98
1.13,994.4,3.09,1.0
1.12,1109.81,2.12,1.01
1.68,1310.4,3.5,3.0
1.1,1056.0,2.8,2.0
1.7,2429.13,3.51,2.99
1.41,1709.2,1.58,1.02
1.03,739.13,3.68,1.96
0.71,702.9,3.62,1.0
1.42,1874.4,2.6,2.0
0.82,723.57,2.39,1.03
0.61,604.45,2.62,1.01
0.62,409.2,3.68,1.0
1.22,1168.27,2.19,1.97
1.26,1668.74,2.97,2.04
0.95,1149.5,1.61,1.0
1.17,1541.83,2.39,1.98
1.13,994.4,2.29,1.0
1.62,1686.1,2.72,3.01
1.2,1298.16,2.6,2.02
1.47,969.32,2.3,1.0
1.25,1239.75,1.8,1.02
1.27,1371.6,2.3,2.0
1.13,993.5,3.59,1.0
1.66,2371.97,2.7,2.99
1.7,1989.0,2.69,3.0
0.84,555.41,3.62,1.02
0.6,396.36,2.41,1.01
1.37,1315.2,1.82,2.0
1.36,1644.1,3.19,1.0
1.38,1817.05,2.11,1.97
1.28,1691.01,3.09,2.01
1.79,1396.2,3.49,3.0
0.91,800.8,3.02,1.0
1.8,1407.24,3.5,3.03
1.5,1618.65,2.2,1.99
1.16,1527.37,1.82,1.97
1.9,1979.04,2.71,3.02
1.46,1930.41,2.7,2.02
0.76,920.44,1.6,1.01
1.7,1987.47,2.71,2.99
1.41,1706.1,3.12,1.0
0.7,847.0,2.39,1.0
1.37,1480.83,2.51,2.01
1.25,1101.0,1.6,1.01
1.17,1121.33,2.31,1.98
1.43,1414.41,2.5,1.0
1.67,1302.6,2.68,3.0
1.28,1126.4,2.7,1.0
1.17,843.1,3.59,2.01
1.54,1601.6,3.5,3.0
1.42,1404.52,3.1,1.0
1.29,927.25,1.71,1.98
1.37,1317.39,3.4,2.02
1.12,1076.1,3.0,2.01
1.21,1195.72,2.4,1.0
1.47,968.44,2.88,1.0
0.75,908.32,2.7,1.01
1.31,1418.34,3.02,2.03
1.35,1189.08,2.91,1.01
1.37,984.76,3.38,1.98
1.08,778.9,2.29,2.02
1.25,901.5,1.78,2.02
1.18,1427.8,3.21,1.0
1.3,1571.57,2.5,1.0
1.46,1402.77,2.42,2.01
1.03,740.98,1.91,1.99
1.5,1080.9,2.0,2.01
1.98,2316.6,2.7,3.0
1.37,1480.83,2.79,2.01
0.58,381.76,3.4,1.0
1.71,2445.3,3.5,3.0
0.77,676.37,3.6,1.0
1.82,2129.4,3.51,3.0
1.43,1545.69,2.6,2.01
1.14,1095.31,2.19,2.01
1.4,1384.74,1.5,1.0
1.14,1003.2,1.69,1.0
1.38,1669.8,3.39,1.0
0.52,515.27,3.07,1.01
1.06,1398.03,1.51,1.99
1.58,1646.99,3.48,3.03
1.72,2012.4,3.5,3.0
1.13,814.28,3.19,2.01
1.96,2293.2,3.49,3.0
1.52,2171.93,3.5,2.99
1.47,1940.4,2.21,2.0
0.54,534.11,1.77,1.0
1.09,1047.27,1.71,2.01
1.35,1629.04,2.2,1.0
1.37,1803.88,2.8,1.97
1.41,1524.07,2.61,2.01
0.72,712.8,1.52,1.0
1.84,2144.52,2.7,2.95
1.09,1079.1,3.4,1.0
1.79,1394.05,2.7,2.98
1.23,1081.42,2.71,1.0
1.37,1654.69,2.1,1.0
1.98,2056.03,3.5,2.98
1.0,1078.2,1.99,1.98
0.67,589.6,2.27,1.0
0.51,616.54,1.69,1.0
1.15,1104.0,3.4,2.0
1.18,1556.3,2.5,1.99
1.19,1050.06,3.22,1.03
1.34,1767.33,2.31,1.99
0.71,858.32,1.91,1.0
1.24,1339.2,3.18,2.0
0.89,1073.96,2.01,1.0
0.82,540.71,3.02,1.0
1.13,1119.72,2.2,1.01
0.73,642.4,2.69,1.0
0.84,553.39,1.7,1.0
1.25,1651.38,3.1,2.01
1.07,1028.06,3.38,2.01
1.93,2762.02,2.68,3.01
1.25,1237.5,1.79,1.0
1.24,1190.4,3.7,2.0
1.39,1502.45,2.02,2.01
1.87,2186.22,2.7,2.99
0.89,586.87,2.5,1.0
1.25,1198.0,1.81,1.98
1.04,997.57,2.0,1.99
1.11,799.2,2.39,2.0
1.47,1411.2,2.88,2.0
1.53,1588.75,3.5,2.98
1.76,1828.99,3.5,2.99
1.12,1355.2,2.3,1.0
1.05,1383.69,3.4,1.98
1.18,778.8,2.11,1.0
1.35,1296.0,2.59,2.0
1.26,830.84,2.78,1.0
1.38,994.43,2.7,2.01
1.01,971.22,2.42,2.02
1.02,734.4,3.71,2.0
0.74,650.61,3.59,1.0
1.99,1552.2,3.51,3.0
1.64,1917.32,3.51,2.99
1.3,1571.57,3.39,1.0
1.22,1317.6,3.1,2.0
1.02,980.02,1.49,2.01
1.32,1598.65,2.2,1.01
1.82,1895.71,2.71,3.02
1.39,1837.86,2.28,2.02
1.14,1507.31,3.1,2.02
1.8,1402.92,3.51,2.99
1.89,2213.0,3.47,3.01
1.2,1153.92,2.41,2.02
1.23,885.6,2.62,2.0
1.21,871.2,3.09,2.0
1.17,772.2,3.41,1.0
1.69,2414.84,2.71,2.99
1.98,2059.2,2.69,3.0
1.15,1103.08,1.91,1.99
0.57,688.45,2.02,1.0
0.68,448.8,3.32,1.0
1.08,779.54,2.11,2.03
1.31,1259.7,3.39,2.02
1.48,1423.17,1.99,2.02
0.94,829.46,3.29,1.03
1.09,1177.2,1.68,2.0
1.99,2843.51,2.72,2.99
0.77,509.12,3.0,1.02
1.37,1482.07,2.41,2.02
1.63,1270.42,2.69,2.99
1.71,1333.8,3.47,3.0
0.84,741.22,2.4,1.03
1.05,1387.16,2.5,2.01
0.82,721.6,2.6,1.0
1.87,2674.1,2.73,3.0
1.59,1854.58,3.5,2.96
1.52,2173.6,3.51,3.0
1.0,959.2,2.81,1.99
1.56,1214.93,3.52,2.98
1.74,1360.33,3.48,3.03
0.72,712.15,2.09,1.0
1.35,1456.78,2.71,1.99
1.87,1943.3,3.48,2.99
1.0,959.2,3.09,1.99
1.34,1286.4,3.3,2.0
1.2,1580.04,2.1,1.97
0.55,545.0,1.99,1.01
1.16,1529.92,3.38,1.99
1.46,1051.2,2.2,2.0
0.54,534.6,1.61,1.0
1.19,1570.8,2.8,2.0
1.06,1050.35,2.0,1.01
1.48,1419.62,1.91,1.99
1.65,1931.98,2.71,3.01
1.37,984.76,3.11,1.98
0.54,534.11,2.78,1.0
0.77,760.91,3.6,1.0
1.33,1754.14,2.29,1.99
1.02,895.15,2.2,1.0
1.72,1342.63,2.72,3.01
0.53,643.05,1.81,1.03
1.57,1631.54,3.5,2.99
0.87,574.72,3.0,1.01
0.77,932.55,3.09,1.01
1.4,1689.38,2.0,1.0
1.42,1872.84,2.59,1.99
1.75,2045.92,2.7,2.99
1.5,1317.6,2.81,1.0
1.29,1239.43,3.49,2.01
1.27,1676.4,3.09,2.0
0.57,689.7,2.89,1.0
1.3,861.12,3.21,1.04
1.29,1699.96,2.6,1.98
1.07,1413.58,2.39,2.01
0.7,693.0,1.9,1.0
1.2,861.84,1.99,1.97
1.57,1631.54,3.5,2.99
0.68,597.31,3.22,1.0
1.88,1955.2,3.5,3.0
1.68,1309.39,3.48,2.99
1.58,1848.6,3.51,3.0
1.18,1040.29,2.99,1.02
1.64,1705.6,2.7,3.0
0.95,836.76,1.9,1.01
1.46,1050.32,2.39,1.99
1.14,1233.25,3.71,2.02
1.38,1368.68,2.0,1.02
1.89,1475.33,3.51,3.01
1.19,1569.49,2.47,1.99
1.42,1365.47,1.79,2.02
1.49,1613.22,2.52,2.03
1.28,1547.39,3.49,1.0
1.49,1311.2,1.99,1.0
1.29,1392.04,1.89,1.99
1.26,906.44,1.81,1.99
1.67,1953.9,3.49,3.0
1.09,784.15,3.5,1.99
1.38,1209.98,2.99,1.0
1.13,745.8,2.09,1.0
1.08,1035.94,2.18,1.99
1.0,879.2,1.88,1.0
1.86,2655.71,2.7,2.98
1.2,1585.32,3.51,2.01
1.35,1633.5,2.89,1.0
1.07,770.4,2.3,2.0
1.49,1606.52,2.49,1.98
1.42,1531.04,3.6,1.98
1.23,811.8,2.02,1.0
1.28,1126.4,2.28,1.0
1.19,856.8,2.09,2.0
